x,y,goal_x,goal_y,distance,spend_time
-6.21,-2.85,2.17,-2.54,10.83,30.25
-6.16,-2.86,,,,
-6.1,-2.87,,,,
-6,-2.86,,,,
-5.93,-2.86,,,,
-5.85,-2.84,,,,
-5.74,-2.82,,,,
-5.66,-2.78,,,,
-5.57,-2.75,,,,
-5.54,-2.69,,,,
-5.5,-2.63,,,,
-5.43,-2.58,,,,
-5.34,-2.54,,,,
-5.33,-2.51,,,,
-5.28,-2.44,,,,
-5.22,-2.39,,,,
-5.19,-2.33,,,,
-5.17,-2.29,,,,
-5.12,-2.27,,,,
-5.07,-2.24,,,,
-5.03,-2.2,,,,
-4.98,-2.19,,,,
-4.91,-2.14,,,,
-4.86,-2.13,,,,
-4.8,-2.09,,,,
-4.72,-2.05,,,,
-4.69,-2.01,,,,
-4.61,-1.97,,,,
-4.56,-1.95,,,,
-4.53,-1.95,,,,
-4.45,-1.92,,,,
-4.36,-1.9,,,,
-4.31,-1.89,,,,
-4.21,-1.86,,,,
-4.14,-1.84,,,,
-4.06,-1.85,,,,
-4.03,-1.84,,,,
-3.93,-1.85,,,,
-3.87,-1.85,,,,
-3.79,-1.87,,,,
-3.75,-1.88,,,,
-3.71,-1.9,,,,
-3.64,-1.93,,,,
-3.6,-1.96,,,,
-3.52,-1.98,,,,
-3.48,-2,,,,
-3.43,-2.02,,,,
-3.4,-2.03,,,,
-3.35,-2.05,,,,
-3.31,-2.08,,,,
-3.28,-2.1,,,,
-3.26,-2.13,,,,
-3.24,-2.16,,,,
-3.2,-2.21,,,,
-3.14,-2.28,,,,
-3.06,-2.37,,,,
-3.01,-2.44,,,,
-2.95,-2.53,,,,
-2.88,-2.65,,,,
-2.84,-2.73,,,,
-2.82,-2.8,,,,
-2.78,-2.88,,,,
-2.75,-2.96,,,,
-2.73,-3.01,,,,
-2.67,-3.09,,,,
-2.59,-3.16,,,,
-2.5,-3.2,,,,
-2.39,-3.24,,,,
-2.29,-3.28,,,,
-2.2,-3.27,,,,
-2.1,-3.27,,,,
-2.01,-3.25,,,,
-1.97,-3.19,,,,
-1.89,-3.15,,,,
-1.75,-3.09,,,,
-1.71,-3.03,,,,
-1.57,-2.95,,,,
-1.47,-2.87,,,,
-1.41,-2.8,,,,
-1.34,-2.72,,,,
-1.27,-2.64,,,,
-1.21,-2.55,,,,
-1.16,-2.49,,,,
-1.13,-2.43,,,,
-1.1,-2.36,,,,
-1.06,-2.28,,,,
-1,-2.22,,,,
-0.94,-2.17,,,,
-0.86,-2.09,,,,
-0.8,-2.06,,,,
-0.76,-2.02,,,,
-0.7,-1.99,,,,
-0.67,-1.98,,,,
-0.61,-1.94,,,,
-0.52,-1.89,,,,
-0.49,-1.87,,,,
-0.44,-1.84,,,,
-0.37,-1.82,,,,
-0.28,-1.79,,,,
-0.18,-1.77,,,,
-0.12,-1.78,,,,
-0.02,-1.79,,,,
0.04,-1.8,,,,
0.12,-1.83,,,,
0.18,-1.86,,,,
0.27,-1.89,,,,
0.36,-1.93,,,,
0.43,-1.96,,,,
0.5,-2,,,,
0.59,-2.04,,,,
0.63,-2.07,,,,
0.7,-2.1,,,,
0.81,-2.13,,,,
0.9,-2.15,,,,
1,-2.16,,,,
1.1,-2.16,,,,
1.19,-2.17,,,,
1.3,-2.17,,,,
1.41,-2.17,,,,
1.53,-2.19,,,,
1.66,-2.2,,,,
1.79,-2.22,,,,
1.9,-2.23,,,,
2,-2.25,,,,
2.1,-2.28,,,,
2.19,-2.3,,,,
2.26,-2.32,,,,
2.29,-2.36,,,,
2.36,-2.39,,,,
2.36,-2.41,,,,
2.37,-2.42,,,,
2.34,-2.43,,,,
2.37,-2.45,,,,
2.34,-2.45,,,,
2.34,-2.47,,,,
2.38,-2.49,,,,
2.37,-2.51,,,,
2.34,-2.49,,,,
2.33,-2.51,,,,
2.32,-2.53,,,,
2.29,-2.55,,,,
2.25,-2.56,,,,
2.23,-2.56,,,,
2.18,-2.56,,,,
2.15,-2.56,,,,
2.12,-2.55,,,,
