x,y,goal_x,goal_y,distance,spend_time
-6.67,-4.51,6.71,-0.59,15.72,58.97
-6.6,-4.51,,,,
-6.52,-4.51,,,,
-6.44,-4.5,,,,
-6.34,-4.48,,,,
-6.24,-4.45,,,,
-6.17,-4.44,,,,
-6.09,-4.42,,,,
-5.99,-4.4,,,,
-5.93,-4.38,,,,
-5.81,-4.38,,,,
-5.77,-4.38,,,,
-5.72,-4.37,,,,
-5.66,-4.36,,,,
-5.6,-4.35,,,,
-5.52,-4.34,,,,
-5.46,-4.34,,,,
-5.42,-4.33,,,,
-5.36,-4.33,,,,
-5.3,-4.31,,,,
-5.24,-4.31,,,,
-5.18,-4.3,,,,
-5.15,-4.29,,,,
-5.09,-4.28,,,,
-5.06,-4.27,,,,
-5.01,-4.27,,,,
-4.94,-4.25,,,,
-4.89,-4.24,,,,
-4.85,-4.23,,,,
-4.8,-4.22,,,,
-4.77,-4.21,,,,
-4.72,-4.2,,,,
-4.66,-4.18,,,,
-4.62,-4.17,,,,
-4.58,-4.16,,,,
-4.53,-4.15,,,,
-4.48,-4.14,,,,
-4.4,-4.12,,,,
-4.34,-4.11,,,,
-4.29,-4.09,,,,
-4.24,-4.09,,,,
-4.19,-4.08,,,,
-4.17,-4.08,,,,
-4.1,-4.07,,,,
-4.07,-4.07,,,,
-3.95,-4.07,,,,
-3.87,-4.06,,,,
-3.8,-4.05,,,,
-3.77,-4.05,,,,
-3.7,-4.04,,,,
-3.62,-4.03,,,,
-3.6,-4.03,,,,
-3.57,-4.02,,,,
-3.54,-4.01,,,,
-3.48,-4,,,,
-3.44,-3.99,,,,
-3.39,-3.98,,,,
-3.33,-3.97,,,,
-3.28,-3.95,,,,
-3.25,-3.93,,,,
-3.2,-3.91,,,,
-3.14,-3.89,,,,
-3.1,-3.88,,,,
-3.06,-3.87,,,,
-3.01,-3.85,,,,
-2.96,-3.84,,,,
-2.9,-3.83,,,,
-2.85,-3.83,,,,
-2.82,-3.82,,,,
-2.77,-3.82,,,,
-2.72,-3.81,,,,
-2.68,-3.8,,,,
-2.63,-3.79,,,,
-2.59,-3.78,,,,
-2.53,-3.76,,,,
-2.47,-3.73,,,,
-2.43,-3.71,,,,
-2.38,-3.69,,,,
-2.33,-3.65,,,,
-2.28,-3.62,,,,
-2.22,-3.58,,,,
-2.18,-3.54,,,,
-2.11,-3.48,,,,
-2.06,-3.43,,,,
