x,y
-1.76448,-1.00042
-1.75484,-1.00001
-1.73241,-0.998976
-1.71093,-1.002
-1.67911,-1.00901
-1.63701,-1.01694
-1.59567,-1.02648
-1.55847,-1.03774
-1.52009,-1.05045
-1.58127,-1.01108
-1.4675,-0.998317
-1.3958,-0.972591
-1.37308,-0.920841
-1.30414,-0.894723
-1.2977,-0.871229
-1.27527,-0.84727
-1.21103,-0.779463
-1.18434,-0.760554
-1.12448,-0.719616
-1.14559,-0.692304
-1.15113,-0.668187
-1.1307,-0.634386
-1.11565,-0.598125
-1.11463,-0.561203
-1.10317,-0.530173
-1.06367,-0.480715
-1.04805,-0.451915
-1.06374,-0.445269
-1.05818,-0.423615
-1.06625,-0.420655
-1.08662,-0.426096
-1.11141,-0.433453
-1.13405,-0.444676
-1.15871,-0.450007
-1.21311,-0.402701
-1.06949,-0.426673
-1.01339,-0.40535
-0.978376,-0.392011
-0.829658,-0.389818
-0.780913,-0.373671
-0.739583,-0.361038
-0.674733,-0.342269
-0.640674,-0.332404
-0.630663,-0.324243
-0.595764,-0.310107
-0.566384,-0.277259
-0.52364,-0.25875
-0.44555,-0.23526
-0.39302,-0.206778
-0.349849,-0.172179
-0.309488,-0.14342
-0.239813,-0.0987469
-0.202199,-0.0668765
-0.164745,-0.0519512
-0.126351,-0.0287532
-0.0914334,-0.00525905
-0.0839572,-0.00558944
-0.055213,0.0133747
-0.0174217,0.0205745
0.0201334,0.0436182
0.0564839,0.0652835
0.0898978,0.0950993
0.141657,0.115595
0.206292,0.149604
0.262695,0.158127
0.394752,0.18505
0.446807,0.161308
0.584432,0.157869
0.637122,0.1095
0.660331,0.0425594
0.816624,0.0136349
0.833907,-0.0474336
0.987577,-0.105768
1.0258,-0.136096
1.13027,-0.189172
1.17832,-0.232855
1.25063,-0.271168
1.2545,-0.289218
1.33281,-0.316827
1.35118,-0.326392
1.40226,-0.340469
1.38469,-0.33257
1.36074,-0.31263
1.36529,-0.300165
1.28718,-0.242767
1.29282,-0.230033
1.38989,-0.267829
1.41584,-0.288684
1.47252,-0.269725
1.48709,-0.329758
1.49153,-0.434299
1.51436,-0.489674
1.53809,-0.531539
1.49707,-0.566017
1.5364,-0.660209
1.54791,-0.7237
1.58167,-0.786128
1.59495,-0.862245
1.61083,-0.94469
1.64202,-1.03542
1.67783,-1.12975
1.71823,-1.22889
1.83207,-1.31396
1.89717,-1.38476
1.94894,-1.43444
1.98626,-1.48511
2.0301,-1.51093
2.07213,-1.5433
2.07622,-1.53522
2.08284,-1.50687
2.0827,-1.50492
2.11422,-1.50028
2.17308,-1.5152
2.24124,-1.52281
2.34897,-1.53376
2.46915,-1.54967
2.61508,-1.53948
2.65245,-1.4983
2.7664,-1.46283
2.90196,-1.41471
3.05648,-1.36176
3.08144,-1.31443
3.13616,-1.27392
3.28025,-1.22664
3.4682,-1.19318
3.50494,-1.17547
3.54896,-1.16619
3.54941,-1.17371
3.55028,-1.19127
3.49371,-1.20286
3.55033,-1.19167
3.56031,-1.17962
3.55363,-1.12782
3.61965,-1.09115
3.65535,-1.02477
3.03726,-1.02683
3.0757,-0.955624
3.101,-0.881909
3.12986,-0.811271
5.19187,-0.651367
5.2234,-0.563006
5.22904,-0.520223
5.22335,-0.476974
5.2198,-0.451844
5.23553,-0.404361
5.25772,-0.368625
5.30833,-0.338021
5.38037,-0.300972
5.42583,-0.250456
5.50945,-0.217265
5.5864,-0.211886
5.64524,-0.204592
5.73042,-0.201649
5.77648,-0.225925
5.88022,-0.220364
5.89033,-0.217085
5.9607,-0.22036
6.00284,-0.228363
6.03105,-0.222425
6.03789,-0.216589
6.073,-0.208218
6.11719,-0.201697
6.15022,-0.183336
6.17812,-0.179333
6.23302,-0.176456
6.26802,-0.167096
6.28529,-0.162561
6.32067,-0.161419
6.3169,-0.164277
6.33914,-0.164525
6.30297,-0.162075
6.31379,-0.162314
6.32,-0.161615
6.3045,-0.156716
6.30528,-0.155889
6.30386,-0.155289
6.3018,-0.154241
6.30249,-0.153447
6.30299,-0.152681
6.30606,-0.151538
6.31578,-0.150483
6.32526,-0.149817
6.34191,-0.148513
6.35262,-0.146748
6.3478,-0.147211
6.33946,-0.146284
6.34079,-0.146319
6.33326,-0.145983
6.33792,-0.145346
6.34291,-0.145031
6.34421,-0.14399
6.34693,-0.142815
6.34927,-0.143094
6.35199,-0.143139
6.3521,-0.142828
6.35442,-0.141677
6.36107,-0.141665
6.36649,-0.142529
6.3688,-0.142018
6.37087,-0.14104
6.37172,-0.140375
6.37559,-0.139575
6.37649,-0.139656
6.37632,-0.139703
6.3757,-0.139236
6.37476,-0.139289
6.37857,-0.13962
6.37789,-0.139082
6.37806,-0.137873
6.37974,-0.138632
6.38086,-0.138372
6.3809,-0.139128
6.38246,-0.139743
6.3847,-0.140951
6.38544,-0.138203
6.38125,-0.137449
6.38156,-0.138337
6.38169,-0.138079
6.38065,-0.136851
6.38249,-0.138079
6.38675,-0.140006
6.38578,-0.140857
6.38466,-0.138591
6.38086,-0.137609
6.37911,-0.139123
6.37898,-0.139488
6.37893,-0.138602
6.38188,-0.138583
6.38615,-0.139778
6.3862,-0.140276
6.38438,-0.139818
6.3809,-0.140083
6.38268,-0.138738
6.38046,-0.137931
6.38029,-0.138226
6.38209,-0.138021
6.38138,-0.137925
6.3817,-0.137154
6.38274,-0.138366
6.38412,-0.138169
6.38184,-0.137268
6.38065,-0.138986
4.84719,-0.0624401
4.8481,-0.0620579
4.85286,-0.0588798
4.8803,-0.0512797
4.92446,-0.0436529
4.98431,-0.0404202
5.04946,-0.040015
5.09936,-0.04297
5.13732,-0.0427205
5.16873,-0.0324368
5.25928,-0.0495983
5.28552,-0.0476749
5.30497,-0.0622518
5.37784,-0.073385
5.50841,-0.0966709
5.60128,-0.126257
5.65011,-0.185062
5.78215,-0.233913
5.86366,-0.287791
5.93636,-0.346947
6.04031,-0.388422
6.0884,-0.424695
6.15719,-0.445266
6.23071,-0.463888
6.27351,-0.484571
