x,y
4.08835,-0.629895
4.1825,-0.631636
4.27135,-0.63481
4.36709,-0.639996
4.41232,-0.640631
4.56565,-0.633532
4.69758,-0.639133
4.82265,-0.624903
4.90318,-0.61316
4.92122,-0.581736
5.04822,-0.570922
5.1352,-0.560548
5.20131,-0.55015
5.28036,-0.539141
5.37873,-0.525127
5.49731,-0.519844
5.58587,-0.515457
5.70809,-0.508104
5.77892,-0.516011
5.8711,-0.520664
6.04369,-0.528796
6.03077,-0.539996
6.0398,-0.544459
6.10952,-0.550637
6.23811,-0.539514
6.37225,-0.541048
6.41811,-0.537784
6.39773,-0.529252
6.47404,-0.518855
6.49873,-0.515282
6.41963,-0.511743
6.46917,-0.505278
6.51738,-0.501472
6.51805,-0.497933
6.51981,-0.497949
6.51395,-0.497785
6.50694,-0.495521
6.50074,-0.491822
6.49085,-0.486981
6.48371,-0.484091
6.59957,-0.430237
